,x,y,angle,dist,drift
256,258,166,-20.5560452196,8.54400374532,11.1803398875
257,264,163,-26.5650511771,6.7082039325,10.4403065089
258,270,160,-26.5650511771,6.7082039325,6.7082039325
259,279,154,-33.690067526,10.8166538264,3.0
260,285,149,-39.8055710923,7.81024967591,13.8924439894
261,291,142,-49.398705355,9.21954445729,6.7082039325
262,298,138,-29.7448812969,8.0622577483,11.1803398875
263,307,132,-33.690067526,10.8166538264,5.38516480713
264,308,128,-75.9637565321,4.12310562562,18.7882942281
265,312,129,14.0362434679,4.12310562562,9.21954445729
266,323,119,-42.2736890061,14.8660687473,12.3693168769
267,319,112,-119.744881297,8.0622577483,29.0688837075
268,322,110,-33.690067526,3.60555127546,16.2788205961
269,330,107,-20.5560452196,8.54400374532,2.2360679775
270,332,97,-78.690067526,10.1980390272,14.5602197786
271,326,82,-111.801409486,16.1554944214,11.1803398875
272,330,76,-56.309932474,7.21110255093,28.8444102037
273,332,71,-68.1985905136,5.38516480713,9.21954445729
274,329,66,-120.963756532,5.83095189485,8.60232526704
275,329,60,-90.0,6.0,7.21110255093
276,329,51,-90.0,9.0,3.0
277,332,53,33.690067526,3.60555127546,20.2237484162
278,334,53,0.0,2.0,5.65685424949
279,336,59,71.5650511771,6.32455532034,6.32455532034
280,340,58,-14.0362434679,4.12310562562,13.0
281,343,58,0.0,3.0,5.38516480713
282,348,56,-21.8014094864,5.38516480713,2.2360679775
283,353,54,-21.8014094864,5.38516480713,5.38516480713
284,360,54,0.0,7.0,5.0
285,364,55,14.0362434679,4.12310562562,10.0498756211
286,373,54,-6.34019174591,9.05538513814,3.16227766017
287,379,54,0.0,6.0,12.1655250606
288,385,56,18.4349488229,6.32455532034,6.32455532034
289,393,59,20.5560452196,8.54400374532,4.12310562562
290,399,59,0.0,6.0,11.6619037897
291,403,64,51.3401917459,6.40312423743,9.43398113206
292,407,67,36.8698976458,5.0,8.0622577483
293,414,70,23.1985905136,7.61577310586,3.16227766017
294,417,80,73.300755766,10.4403065089,11.7046999107
295,423,79,-9.46232220803,6.0827625303,21.0
296,428,85,50.1944289077,7.81024967591,10.6301458127
297,439,94,39.2894068625,14.2126704036,3.16227766017
298,445,98,33.690067526,7.21110255093,21.2602916255
299,449,101,36.8698976458,5.0,9.43398113206
300,455,107,45.0,8.48528137424,2.0
301,462,115,48.8140748343,10.6301458127,6.40312423743
302,464,118,56.309932474,3.60555127546,17.691806013
303,473,124,33.690067526,10.8166538264,5.0
304,476,128,53.1301023542,5.0,17.0
305,480,133,51.3401917459,6.40312423743,3.60555127546
306,487,141,48.8140748343,10.6301458127,2.2360679775
307,492,148,54.462322208,8.60232526704,12.7279220614
308,495,150,33.690067526,3.60555127546,13.8924439894
309,498,155,59.0362434679,5.83095189485,3.16227766017
310,505,161,40.601294645,9.21954445729,4.12310562562
311,512,166,35.537677792,8.60232526704,9.89949493661
312,518,174,53.1301023542,10.0,8.24621125124
313,520,181,74.0546040991,7.28010988928,13.4536240471
314,527,186,35.537677792,8.60232526704,9.48683298051
315,530,192,63.4349488229,6.7082039325,11.7046999107
316,532,197,68.1985905136,5.38516480713,8.0622577483
317,533,197,0.0,1.0,10.4403065089
318,540,205,48.8140748343,10.6301458127,9.43398113206
319,538,205,180.0,2.0,22.627416998
320,537,211,99.462322208,6.0827625303,6.7082039325
321,540,217,63.4349488229,6.7082039325,7.81024967591
322,540,224,90.0,7.0,7.81024967591
323,536,229,128.659808254,6.40312423743,9.8488578018
324,535,237,97.1250163489,8.0622577483,7.28010988928
325,534,244,98.1301023542,7.07106781187,9.05538513814
326,530,251,119.744881297,8.0622577483,7.28010988928
327,529,256,101.309932474,5.09901951359,11.401754251
328,526,262,116.565051177,6.7082039325,4.12310562562
329,523,269,113.198590514,7.61577310586,5.83095189485
330,520,276,113.198590514,7.61577310586,7.61577310586
331,515,283,125.537677792,8.60232526704,7.07106781187
332,513,287,116.565051177,4.472135955,12.8062484749
333,510,293,116.565051177,6.7082039325,2.2360679775
334,506,297,135.0,5.65685424949,8.24621125124
335,496,304,145.007979801,12.2065556157,2.2360679775
336,491,307,149.036243468,5.83095189485,18.6010752377
337,489,307,180.0,2.0,10.0
338,486,307,180.0,3.0,1.0
339,477,308,173.659808254,9.05538513814,3.16227766017
340,472,309,168.690067526,5.09901951359,13.0384048104
341,469,308,-161.565051177,3.16227766017,7.61577310586
342,459,308,180.0,10.0,4.472135955
343,458,305,-108.434948823,3.16227766017,19.2353840617
344,449,302,-161.565051177,9.48683298051,7.61577310586
345,437,299,-165.963756532,12.3693168769,6.7082039325
346,430,296,-156.801409486,7.61577310586,17.2626765016
347,422,292,-153.434948823,8.94427191,6.32455532034
348,416,290,-161.565051177,6.32455532034,11.6619037897
349,410,287,-153.434948823,6.7082039325,6.0827625303
350,402,284,-159.44395478,8.54400374532,5.0
351,394,281,-159.44395478,8.54400374532,8.54400374532
352,392,278,-123.690067526,3.60555127546,14.3178210633
353,384,278,180.0,8.0,7.21110255093
354,376,274,-153.434948823,8.94427191,8.94427191
355,367,271,-161.565051177,9.48683298051,8.60232526704
356,358,270,-173.659808254,9.05538513814,10.295630141
357,354,267,-143.130102354,5.0,14.0356688476
358,346,270,159.44395478,8.54400374532,9.0
359,341,266,-141.340191746,6.40312423743,14.8660687473
360,332,264,-167.471192291,9.21954445729,6.0827625303
361,336,264,0.0,4.0,22.360679775
362,323,262,-171.253837737,13.152946438,21.0950231097
363,312,261,-174.805571092,11.0453610172,15.2970585408
364,303,267,146.309932474,10.8166538264,15.2643375225
365,297,273,135.0,8.48528137424,13.416407865
366,287,270,-163.300755766,10.4403065089,15.1327459504
367,281,272,161.565051177,6.32455532034,16.1245154966
368,273,275,159.44395478,8.54400374532,4.12310562562
369,266,278,156.801409486,7.61577310586,9.48683298051
370,258,281,159.44395478,8.54400374532,6.7082039325
371,253,281,180.0,5.0,12.5299640861
372,245,284,159.44395478,8.54400374532,3.60555127546
373,237,288,153.434948823,8.94427191,8.24621125124
374,232,290,158.198590514,5.38516480713,12.5299640861
375,227,290,180.0,5.0,6.40312423743
376,224,289,-161.565051177,3.16227766017,7.07106781187
377,216,289,180.0,8.0,2.82842712475
378,210,290,170.537677792,6.0827625303,10.0498756211
379,205,291,168.690067526,5.09901951359,7.07106781187
380,201,292,165.963756532,4.12310562562,6.0827625303
381,191,292,180.0,10.0,2.82842712475
382,186,293,168.690067526,5.09901951359,15.0332963784
383,177,294,173.659808254,9.05538513814,1.41421356237
384,170,296,164.054604099,7.28010988928,11.0
385,165,296,180.0,5.0,9.8488578018
386,156,297,173.659808254,9.05538513814,1.41421356237
387,151,297,180.0,5.0,13.152946438
388,145,296,-170.537677792,6.0827625303,4.12310562562
389,134,300,160.016893478,11.7046999107,6.0827625303
390,124,304,158.198590514,10.7703296143,12.6491106407
391,120,307,143.130102354,5.0,16.7630546142
392,91,323,151.113418233,33.1209903234,23.2594066992
393,92,323,0.0,1.0,67.1192967782
394,101,319,-23.9624889746,9.8488578018,8.0622577483
395,95,321,161.565051177,6.32455532034,26.0
396,94,315,-99.462322208,6.0827625303,14.8660687473
397,96,315,0.0,2.0,12.6491106407
398,94,314,-153.434948823,2.2360679775,6.0827625303
399,94,313,-90.0,1.0,4.12310562562
400,94,314,90.0,1.0,3.0
401,95,315,45.0,1.41421356237,1.41421356237
402,94,315,180.0,1.0,3.60555127546
403,94,315,0.0,0.0,2.0
404,94,313,-90.0,2.0,2.0
405,95,314,45.0,1.41421356237,5.09901951359
406,92,315,161.565051177,3.16227766017,5.09901951359
407,95,315,0.0,3.0,9.21954445729
408,95,314,-90.0,1.0,6.0827625303
409,93,315,153.434948823,2.2360679775,3.60555127546
410,92,313,-116.565051177,2.2360679775,5.0
411,93,314,45.0,1.41421356237,5.83095189485
412,91,315,153.434948823,2.2360679775,4.12310562562
413,95,314,-14.0362434679,4.12310562562,8.54400374532
414,97,313,-26.5650511771,2.2360679775,6.0827625303
415,97,315,90.0,2.0,5.65685424949
416,95,315,180.0,2.0,4.472135955
417,96,315,0.0,1.0,5.0
418,97,314,-45.0,1.41421356237,1.41421356237
419,94,315,161.565051177,3.16227766017,5.83095189485
420,100,319,33.690067526,7.21110255093,12.1655250606
421,94,315,-146.309932474,7.21110255093,21.6333076528
422,86,320,147.994616792,9.43398113206,13.6014705087
423,93,316,-29.7448812969,8.0622577483,26.9258240357
424,94,316,0.0,1.0,15.2643375225
425,93,318,116.565051177,2.2360679775,3.60555127546
426,93,317,-90.0,1.0,5.38516480713
427,94,319,63.4349488229,2.2360679775,4.12310562562
428,88,322,153.434948823,6.7082039325,8.0622577483
429,91,321,-18.4349488229,3.16227766017,16.5529453572
430,101,321,0.0,10.0,4.472135955
431,84,323,173.290163192,17.1172427686,37.0540146273
432,95,318,-24.4439547804,12.0830459736,45.8911756223
433,91,322,135.0,5.65685424949,29.5296461205
434,102,320,-10.3048464688,11.1803398875,21.4709105536
435,95,317,-156.801409486,7.61577310586,29.0172362571
436,88,306,-122.471192291,13.0384048104,8.60232526704
437,92,312,56.309932474,7.21110255093,33.2866339542
438,91,303,-96.3401917459,9.05538513814,22.8473193176
439,91,295,-90.0,8.0,10.1980390272
440,91,290,-90.0,5.0,11.0
441,96,280,-63.4349488229,11.1803398875,5.0
442,96,276,-90.0,4.0,18.8679622641
443,97,266,-84.2894068625,10.0498756211,2.2360679775
444,102,258,-57.9946167919,9.43398113206,12.3693168769
445,104,249,-77.4711922908,9.21954445729,10.6301458127
446,108,243,-56.309932474,7.21110255093,12.0
447,109,239,-75.9637565321,4.12310562562,10.6301458127
448,110,236,-71.5650511771,3.16227766017,5.09901951359
449,113,227,-71.5650511771,9.48683298051,3.16227766017
450,115,222,-68.1985905136,5.38516480713,13.6014705087
451,117,217,-68.1985905136,5.38516480713,5.38516480713
452,121,210,-60.2551187031,8.0622577483,3.0
453,124,202,-69.4439547804,8.54400374532,7.81024967591
454,129,197,-45.0,7.07106781187,11.0453610172
455,134,191,-50.1944289077,7.81024967591,6.40312423743
456,140,183,-53.1301023542,10.0,5.65685424949
457,143,177,-63.4349488229,6.7082039325,13.4536240471
458,149,170,-49.398705355,9.21954445729,5.0
459,153,163,-60.2551187031,8.0622577483,10.6301458127
460,156,158,-59.0362434679,5.83095189485,10.295630141
461,161,152,-50.1944289077,7.81024967591,4.12310562562
462,166,146,-50.1944289077,7.81024967591,7.81024967591
463,170,139,-60.2551187031,8.0622577483,7.81024967591
464,173,132,-66.8014094864,7.61577310586,8.60232526704
465,179,126,-45.0,8.48528137424,8.0
466,182,119,-66.8014094864,7.61577310586,10.295630141
467,187,110,-60.9453959009,10.295630141,5.09901951359
468,191,106,-45.0,5.65685424949,15.2315462117
469,195,98,-63.4349488229,8.94427191,4.0
470,198,93,-59.0362434679,5.83095189485,12.0830459736
471,202,91,-26.5650511771,4.472135955,8.24621125124
472,204,87,-63.4349488229,4.472135955,6.0
473,207,77,-73.300755766,10.4403065089,2.2360679775
474,212,71,-50.1944289077,7.81024967591,14.0356688476
475,214,66,-68.1985905136,5.38516480713,10.6301458127
476,215,61,-78.690067526,5.09901951359,5.83095189485
477,216,57,-75.9637565321,4.12310562562,6.0827625303
478,219,57,0.0,3.0,8.0622577483
479,223,58,14.0362434679,4.12310562562,2.2360679775
480,227,57,-14.0362434679,4.12310562562,5.0
481,233,52,-39.8055710923,7.81024967591,3.60555127546
482,237,53,14.0362434679,4.12310562562,13.6014705087
483,243,52,-9.46232220803,6.0827625303,3.60555127546
484,247,50,-26.5650511771,4.472135955,8.0
485,254,49,-8.13010235416,7.07106781187,3.16227766017
486,258,50,14.0362434679,4.12310562562,10.4403065089
487,264,50,0.0,6.0,2.82842712475
488,275,52,10.3048464688,11.1803398875,2.2360679775
489,282,54,15.9453959009,7.28010988928,15.1327459504
490,288,56,18.4349488229,6.32455532034,8.24621125124
491,294,60,33.690067526,7.21110255093,6.0
492,302,63,20.5560452196,8.54400374532,6.40312423743
493,308,66,26.5650511771,6.7082039325,10.4403065089
494,315,69,23.1985905136,7.61577310586,5.83095189485
495,319,75,56.309932474,7.21110255093,10.0
496,328,77,12.5288077092,9.21954445729,10.0498756211
497,335,84,45.0,9.89949493661,11.401754251
498,339,86,26.5650511771,4.472135955,15.6204993518
499,351,89,14.0362434679,12.3693168769,4.12310562562
500,359,99,51.3401917459,12.8062484749,16.4924225025
501,370,102,15.2551187031,11.401754251,17.7200451467
502,376,107,39.8055710923,7.81024967591,16.0312195419
503,376,110,90.0,3.0,13.8924439894
504,385,113,18.4349488229,9.48683298051,9.48683298051
505,393,114,7.1250163489,8.0622577483,11.1803398875
506,403,117,16.699244234,10.4403065089,6.0827625303
507,402,119,116.565051177,2.2360679775,21.3775583264
508,411,121,12.5288077092,9.21954445729,11.1803398875
509,417,123,18.4349488229,6.32455532034,12.1655250606
510,423,125,18.4349488229,6.32455532034,6.32455532034
511,436,126,4.398705355,13.0384048104,3.16227766017
512,446,126,0.0,10.0,16.1245154966
513,448,126,0.0,2.0,18.0
514,459,125,-5.19442890773,11.0453610172,7.07106781187
515,467,125,0.0,8.0,14.1421356237
516,472,125,0.0,5.0,11.0
517,479,125,0.0,7.0,3.0
518,482,128,45.0,4.24264068712,11.401754251
519,487,129,11.309932474,5.09901951359,5.09901951359
520,492,125,-38.6598082541,6.40312423743,7.81024967591
521,499,126,8.13010235416,7.07106781187,9.48683298051
522,507,124,-14.0362434679,8.24621125124,7.21110255093
523,513,125,9.46232220803,6.0827625303,11.1803398875
524,518,126,11.309932474,5.09901951359,7.07106781187
525,527,127,6.34019174591,9.05538513814,1.41421356237
526,527,129,90.0,2.0,18.0
527,530,130,18.4349488229,3.16227766017,4.24264068712
528,539,131,6.34019174591,9.05538513814,3.16227766017
529,535,129,-153.434948823,4.472135955,22.360679775
530,540,131,21.8014094864,5.38516480713,14.3178210633
531,540,134,90.0,3.0,10.0498756211
532,547,142,48.8140748343,10.6301458127,7.28010988928
533,548,146,75.9637565321,4.12310562562,17.691806013
534,547,152,99.462322208,6.0827625303,3.60555127546
535,548,160,82.8749836511,8.0622577483,5.0
536,543,172,112.619864948,13.0,8.0622577483
537,543,177,90.0,5.0,21.4709105536
538,545,179,45.0,2.82842712475,8.24621125124
539,542,188,108.434948823,9.48683298051,8.60232526704
540,541,195,98.1301023542,7.07106781187,12.0830459736
541,540,201,99.462322208,6.0827625303,8.0622577483
542,541,206,78.690067526,5.09901951359,7.61577310586
543,542,216,84.2894068625,10.0498756211,1.0
544,542,223,90.0,7.0,13.152946438
545,542,228,90.0,5.0,9.0
546,542,239,90.0,11.0,1.0
547,542,243,90.0,4.0,18.0
548,546,247,45.0,5.65685424949,5.65685424949
549,547,263,86.423665625,16.0312195419,10.6301458127
550,551,275,71.5650511771,12.6491106407,20.0997512422
551,551,272,-90.0,3.0,28.1602556807
552,551,282,90.0,10.0,16.0
553,552,286,75.9637565321,4.12310562562,16.0312195419
